"Commissioner","Date","Location","Entity","Subject"
"Vytenis Andriukaitis","24/03/2015","Brussels","Médecins Sans Frontières","EU ACTION ON TB; POSSIBILITIES TO RAISE PROFILE OF WORK ON TB"
"Vytenis Andriukaitis","19/03/2015","Brussels","EUROPEAN PUBLIC HEALTH ALLIANCE","Chronic Disease - EU Action"
"Vytenis Andriukaitis","06/03/2015","Brussels","Association of European Cancer Leagues","EU ACTION ON CANCER INCLUDING INO ON ON-GOING JOINNT ACTIONS AND THE CANCER CODE, Possibilites of further co-operation & Tobacco"
"Vytenis Andriukaitis","02/03/2015","Brussels","EUROPEAN CROP PROTECTION ASSOCIATION","EU POLICY ON PESTICIDES"
"Vytenis Andriukaitis","02/03/2015","Brussels","EuropaBio","Healthcare (personalised medicine which will be a priority of the LU Presidency, Biosimilars, Advanced Therapy Medicinal Products (ATMPs), Health Technology Assessment (HTA) and GMO'S"
"Vytenis Andriukaitis","02/03/2015","Brussels","Smoke Free Partnership","Smoke free policy"
"Vytenis Andriukaitis","26/02/2015","PARIS","Union Fédérale des Consommateurs - Que Choisir","1. Report on the mandatory indication of origin for meat as an ingredient 2. Report on the mandatory indication of origin for unprocessed foods, single ingredient products and ingredient that represent more than 50% of a food"
"Vytenis Andriukaitis","24/02/2015","Brussels","EUROPEAN ORGANISATION FOR RARE DISEASES","Action on rare diseases, Bridging Inequalities & Giving Patients with Rare Diseases same type of access to treatment and care"
"Vytenis Andriukaitis","23/02/2015","Brussels","FOODDRINKEUROPE","Implementation of the Regulation (EU) 1169/2011 (Food Information to Consumers).- Labelling & Food Safety and Fraud"
"Vytenis Andriukaitis","04/02/2015","Brussels","European Generic medicines Association","EGA manifesto"
"Vytenis Andriukaitis","04/02/2015","Brussels","European Board and College of Obstetrics and Gynaecology","Standards of care for women's health"
"Vytenis Andriukaitis","02/02/2015","Brussels","European Society of Lifestyle Medicine","Prevention and Promotion, Emerging role of Lifestyle Medicine"
"Vytenis Andriukaitis","02/02/2015","Brussels","European Cancer Patient Coalition","EU ACTION ON CANCER, GUIDELINES, JOINT ACTIONS, PRICING OF CANCER DRUGS AND INEQUALITIES, CROSS -BORDER HEALTH CARE DIRECTIVE"
"Vytenis Andriukaitis","30/01/2015","Brussels","VIER PFOTEN International                                                                                    Humane Society International                                                                                    Bureau Européen des Unions de Consommateurs                                                                                    European Coordination Via Campesina                                                                                                                        European Community of Consumer Cooperatives                                                                EUROGROUP for Animals                                                                                    Friends of the Earth Europe                                                                                                                        International Federation of Organic Agriculture Movements (IFOAM)                                                               Pesticide Action network Europe                                                                                    Slow Food                                                                                    ARCHE NOAH, Gesellschaft für die Erhaltung der Kulturpflanzenvielfalt und ihre Entwicklung                                                                                    Bee Life - European Beekeeping Coordination                                                                                    Corporate Europe Observatory                                                                                    Compassion in World Farming                                                                                    European Environmental Bureau                                                                                                                        European Professional Beekeepers Association (EPBA)                                                               European Vegetarian Union                                                                                    Federation of Associations for Hunting and Conservation of the EU                                                                                                                        European Federation of Food Banks                                                               WWF European Policy Programme","The food chain, innovation and challenges, food information to consumers, nutrition, and food waste, animal health, animal welfare and plant health"
"Vytenis Andriukaitis","29/01/2015","Brussels","Continua Health Alliance","E-Health"
"Vytenis Andriukaitis","29/01/2015","Brussels","European Union Chamber of Commerce in China","Bilateral relations"
"Vytenis Andriukaitis","29/01/2015","Brussels","Médecins du Monde","Migrants Health (Particularly Children), Vaccination, Access to Hepitatic C treatment and Health situation in Greece and Spain"
"Vytenis Andriukaitis","28/01/2015","Brussels","European Patients Forum","Health system performance assesment"
"Vytenis Andriukaitis","28/01/2015","Brussels","European Society of Cardiology","Action on Cardiovascular Diseases inlcuding Indicators.  Registries, E-Health Solutions and Bridging Inequalities"
"Vytenis Andriukaitis","27/01/2015","Brussels","The Council of European Dentists and Doctors","Access to health care"
"Vytenis Andriukaitis","23/01/2015","Brussels","Pesticide Action Network Europe","EU Policy on Pesticides"
"Vytenis Andriukaitis","23/01/2015","Brussels","Eurogroup for Animals","Animal welfare"
"Vytenis Andriukaitis","19/01/2015","Brussels","International Sport and Culture Association","Supporting Sports and Physical Exercise to improve Health and prevent disease"
"Vytenis Andriukaitis","14/01/2015","Vilnius, Lithuania","PA Europe","Antimicrobial resistance"
"Vytenis Andriukaitis","09/01/2015","Brussels","European Dairy Association aisbl","NUTRITION AND HEALTH CLAIMS, FOOD INFORMATION TO CONSUMERS – GENERAL OVERVIEW, ORIGIN LABELLING, TRANS FATTY ACIDS, NATIONAL APPROACHES AND SINGLE MARKET, FOOD WASTE REDUCTION, ANIMAL HEALTH AND WELFARE,"
